word,meaning,aliases,level,pos
achieve,성취하다,이루다,B1,verb
advantage,장점,이점,B1,noun
adventure,모험,,B1,noun
advertise,광고하다,홍보하다,B1,verb
advertisement,광고,,B1,noun
against,~에 반대하여,대항하여,B1,preposition
allow,허락하다,허용하다,B1,verb
although,비록 ~이지만,~에도 불구하고,B1,conjunction
among,~사이에,,B1,preposition
amount,양,총액,B1,noun
ancient,고대의,아주 오래된,B1,adjective
annoy,짜증나게 하다,성가시게 하다,B1,verb
annoying,짜증나는,성가신,B1,adjective
application,신청,지원서,B1,noun
apply,신청하다,지원하다,B1,verb
argue,주장하다,말다툼하다,B1,verb
argument,논쟁,언쟁,B1,noun
army,군대,,B1,noun
arrange,정리하다,배열하다|준비하다,B1,verb
arrangement,준비,배열,B1,noun
asleep,잠든,,B1,adjective
assistant,보조자,조수,B1,noun
athlete,운동선수,,B1,noun
attack,공격,공격하다,B1,noun
attend,참석하다,다니다,B1,verb
attention,주의,집중,B1,noun
attract,끌다,유인하다,B1,verb
audience,관객,청중,B1,noun
average,평균,보통의,B1,noun
avoid,피하다,회피하다,B1,verb
award,상,수여하다,B1,noun
background,배경,경력,B1,noun
badly,심하게,몹시,B1,adverb
base,기초,기반,B1,noun
basic,기본적인,기초의,B1,adjective
behavior,행동,태도,B1,noun
belong,속하다,,B1,verb
beneath,~아래에,밑에,B1,preposition
benefit,이익,혜택,B1,noun
bite,물다,,B1,verb
block,막다,차단하다,B1,verb
blood,피,,B1,noun
blow,불다,타격,B1,verb
board,판자,탑승하다,B1,noun
brain,뇌,,B1,noun
branch,가지,지점,B1,noun
brand,상표,브랜드,B1,noun
brave,용감한,,B1,adjective
breath,숨,호흡,B1,noun
breathe,숨쉬다,호흡하다,B1,verb
bridge,다리,,B1,noun
brief,짧은,간단한,B1,adjective
bright,밝은,영리한,B1,adjective
broad,넓은,폭넓은,B1,adjective
broadcast,방송,방송하다,B1,noun
brush,솔,솔질하다,B1,noun
burn,타다,태우다,B1,verb
businessman,사업가,,B1,noun
calm,차분한,진정시키다,B1,adjective
campaign,운동,캠페인,B1,noun
campus,캠퍼스,학교 구내,B1,noun
cancel,취소하다,,B1,verb
candidate,후보자,지원자,B1,noun
capital,수도,자본,B1,noun
captain,주장,선장,B1,noun
career,경력,직업,B1,noun
cash,현금,,B1,noun
cause,원인,야기하다,B1,noun
celebrate,축하하다,기념하다,B1,verb
celebration,축하,기념행사,B1,noun
center,중심,,B1,noun
ceremony,의식,행사,B1,noun
certain,확실한,어떤,B1,adjective
chance,기회,가능성,B1,noun
character,등장인물,성격,B1,noun
charge,요금,청구하다,B1,noun
charity,자선,구호단체,B1,noun
chat,잡담,잡담하다,B1,noun
cheerful,쾌활한,명랑한,B1,adjective
chemical,화학 물질,화학의,B1,noun
chest,가슴,흉부,B1,noun
childhood,어린 시절,유년기,B1,noun
claim,주장하다,요구하다,B1,verb
clearly,분명히,명확하게,B1,adverb
clever,영리한,똑똑한,B1,adjective
climate,기후,,B1,noun
climb,오르다,등반하다,B1,verb
close,가까운,친한,B1,adjective
coach,코치,,B1,noun
coast,해안,,B1,noun
collection,수집품,모음,B1,noun
comfort,편안함,위로,B1,noun
comfortable,편안한,,B1,adjective
comment,논평,댓글,B1,noun
commercial,광고,상업의,B1,noun
communicate,의사소통하다,소통하다,B1,verb
communication,의사소통,소통,B1,noun
community,지역사회,공동체,B1,noun
compare,비교하다,견주다,B1,verb
competition,경쟁,대회,B1,noun
complain,불평하다,항의하다,B1,verb
complete,완료하다,완전한,B1,verb
completely,완전히,,B1,adverb
condition,상태,조건,B1,noun
conference,회의,학회,B1,noun
connect,연결하다,이어주다,B1,verb
connection,연결,관계,B1,noun
consider,고려하다,생각하다,B1,verb
contain,포함하다,들어있다,B1,verb
content,내용,,B1,noun
control,통제,조절하다,B1,noun
