word,meaning,aliases,level,pos
abstract,추상적인,개념적인,C1,adjective
academy,학회,학교,C1,noun
accessibility,접근 가능성,,C1,noun
accommodate,수용하다,맞추다,C1,verb
accordingly,그에 따라,따라서,C1,adverb
accountability,책임,책무,C1,noun
accumulate,축적하다,모으다,C1,verb
accuracy,정확성,,C1,noun
accustomed,익숙한,,C1,adjective
achievement,성취,업적,C1,noun
acid,산,산성의,C1,noun
activate,활성화하다,작동시키다,C1,verb
acute,극심한,예리한,C1,adjective
adaptation,적응,각색,C1,noun
adequately,충분히,적절하게,C1,adverb
adjacent,인접한,가까운,C1,adjective
adjustment,조정,적응,C1,noun
administer,관리하다,집행하다,C1,verb
admiration,감탄,존경,C1,noun
adolescent,청소년,사춘기의,C1,noun
adverse,불리한,부정적인,C1,adjective
advocate,옹호하다,지지자,C1,verb
aesthetic,미적인,미학의,C1,adjective
affiliate,제휴하다,연계하다,C1,verb
aggregate,총계,합계의,C1,noun
agriculture,농업,,C1,noun
alien,외계인,이질적인,C1,noun
align,정렬하다,일치시키다,C1,verb
alignment,정렬,조정,C1,noun
allegation,주장,혐의,C1,noun
allege,주장하다,단언하다,C1,verb
allocate,할당하다,배분하다,C1,verb
allocation,할당,배분,C1,noun
ally,동맹,동맹을 맺다,C1,noun
alongside,~와 함께,나란히,C1,preposition
altogether,완전히,전적으로,C1,adverb
amend,수정하다,개정하다,C1,verb
amendment,수정,개정안,C1,noun
amid,~가운데,~속에서,C1,preposition
analogy,유추,비유,C1,noun
anchor,닻,고정시키다,C1,noun
angel,천사,,C1,noun
animation,생기,애니메이션,C1,noun
anonymous,익명의,,C1,adjective
apparently,보아하니,겉보기에는,C1,adverb
appendix,부록,맹장,C1,noun
appetite,식욕,욕구,C1,noun
applaud,박수치다,칭찬하다,C1,verb
applicable,적용 가능한,,C1,adjective
appoint,임명하다,지정하다,C1,verb
appreciation,감사,이해,C1,noun
arbitrary,임의의,제멋대로의,C1,adjective
architectural,건축의,,C1,adjective
archive,기록 보관소,보관하다,C1,noun
arena,경기장,무대,C1,noun
arm,무장시키다,팔,C1,verb
array,배열,다양한 것들,C1,noun
articulate,분명히 표현하다,말 잘하는,C1,verb
ash,재,잔재,C1,noun
aspiration,열망,포부,C1,noun
assemble,조립하다,모으다,C1,verb
assert,단언하다,주장하다,C1,verb
assertion,주장,단언,C1,noun
asset,자산,강점,C1,noun
assign,지정하다,할당하다,C1,verb
astonishing,놀라운,경이로운,C1,adjective
assumption,가정,추정,C1,noun
assurance,보장,확신,C1,noun
asylum,망명,보호소,C1,noun
atomic,원자의,,C1,adjective
attachment,첨부,애착,C1,noun
attain,달성하다,이루다,C1,verb
attendance,출석,참석,C1,noun
attribute,속성,~의 탓으로 돌리다,C1,noun
auction,경매,,C1,noun
audit,감사,점검하다,C1,noun
authentic,진정한,진짜의,C1,adjective
authorize,권한을 부여하다,허가하다,C1,verb
auto,자동차,자동의,C1,noun
autonomy,자율성,자치,C1,noun
availability,이용 가능성,,C1,noun
backing,지지,후원,C1,noun
backdrop,배경,,C1,noun
backward,뒤로,낙후한,C1,adverb
ballot,투표용지,투표하다,C1,noun
banner,현수막,배너,C1,noun
barely,거의 ~아니다,간신히,C1,adverb
beam,광선,들보,C1,noun
beast,짐승,야수,C1,noun
behalf,이익,편,C1,noun
beloved,사랑받는,,C1,adjective
bench,벤치,재판관 자리,C1,noun
benchmark,기준점,벤치마크,C1,noun
benevolent,자비로운,호의적인,C1,adjective
betray,배신하다,저버리다,C1,verb
beverage,음료,,C1,noun
blessing,축복,,C1,noun
boast,자랑하다,자랑,C1,verb
bold,대담한,굵은,C1,adjective
boost,증진시키다,향상,C1,verb
boundary,경계,한계,C1,noun
breach,위반,깨뜨리다,C1,noun
breakdown,고장,붕괴,C1,noun
breakthrough,획기적 진전,돌파구,C1,noun
breed,번식하다,품종,C1,verb
broker,중개인,,C1,noun
browser,브라우저,탐색기,C1,noun
brutal,잔혹한,혹독한,C1,adjective
buffer,완충 장치,완충하다,C1,noun
bulk,대부분,부피,C1,noun
burial,매장,,C1,noun
cabin,오두막,선실,C1,noun
calculation,계산,추정,C1,noun
canvas,캔버스,,C1,noun
capability,능력,성능,C1,noun
capitalism,자본주의,,C1,noun
casualty,사상자,피해자,C1,noun
catalog,목록,카탈로그,C1,noun
cater,음식을 제공하다,충족시키다,C1,verb
cautionary,경고의,주의를 주는,C1,adjective
celebrated,유명한,칭송받는,C1,adjective
